"","X","QUD","context","item","number","quantifier","response","slide_number","trial_type","language","enjoyment","age","gender","education","comments","describe","school","classes","college","lived","years","family","level","Browser","OS","screenH","screenW","time_in_minutes","participant_id","assess"
"5",0,"all","with","leones","two","every",0.89,3,"one_slider","Español ",1,"21","Female",3,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",812,375,3.02918333333333,5,"Yes"
"6",0,"none","without","ranas","four","every",1,3,"one_slider","Española",1,"38","Male",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.81586666666667,6,"Yes"
"8",0,"none","without","mariposas","two","every",0.94,3,"one_slider","Español",2,"33","Male",3,"","SpanSpan","none","no","nocollege","both8","mostlive","spaneng","native","Chrome","Linux",640,360,3.27846666666667,8,"Yes"
"12",0,"none","with","ranas","two","every",0.97,3,"one_slider","Español",2,"33","Male",3,"No me queda claro para qué es el estudio. ","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Linux",780,360,3.49523333333333,12,"Yes"
"13",0,"all","without","leones","four","every",0,3,"one_slider","Español",2,"22","Male",1,"Algo entretenido. Definitivamente distinto a los demás. ","SpanSpan","most","yes","onesem","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.48665,13,"Yes"
"17",0,"many","without","leones","two","every",0.01,3,"one_slider","español",2,"36","Male",3,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Mac",1440,2560,3.48943333333333,17,"Yes"
"18",0,"none","with","ranas","two","every",0.5,3,"one_slider","Español",2,"23","Female",3,"es bueno","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.06455,18,"Yes"
"19",0,"all","with","ranas","four","every",0.92,3,"one_slider","Español",1,"31","Female",1,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,3.67076666666667,19,"Yes"
"20",0,"many","without","dinosaurios","four","every",0.03,3,"one_slider","español",2,"53","Male",4,"encuesta interesante","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.17645,20,"Yes"
"23",0,"many","without","dinosaurios","two","every",0,3,"one_slider","español",2,"18","Male",1,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Windows",768,1366,3.54596666666667,23,"Yes"
"25",0,"none","without","ranas","two","every",0.9,3,"one_slider","Español",1,"23","Male",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",768,1366,2.77131666666667,25,"Yes"
"26",0,"many","without","leones","two","every",0.02,3,"one_slider","Español",1,"37","Other",3,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,2.21785,26,"Yes"
"27",0,"many","with","mariposas","four","every",0,3,"one_slider","Español",1,"19","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.08273333333333,27,"Yes"
"29",0,"many","with","ranas","four","every",1,3,"one_slider","español",1,"39","Female",3,"El elefante tendrá razón, pero es un pedante :P","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.95971666666667,29,"Yes"
"30",0,"none","with","leones","four","every",0.99,3,"one_slider","español",2,"23","Female",4,"","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Safari","Mac",900,1440,2.21243333333333,30,"Yes"
"32",0,"all","without","dinosaurios","two","every",1,3,"one_slider","Español",1,"19","Female",2,"","SpanSpan","mid","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.77713333333333,32,"Yes"
"33",0,"many","with","mariposas","two","every",0.11,3,"one_slider","Español",1,"34","Male",4,"","SpanEng","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",760,360,4.33,33,"Yes"
"34",0,"none","without","dinosaurios","four","every",0,3,"one_slider","español",2,"24","Female",3,"ninguno","SpanSpan","most","yes","midsem","both8","mostlive","span","native","Chrome","Windows",768,1366,2.1184,34,"Yes"
"35",0,"all","with","leones","two","every",0.51,3,"one_slider","español",2,"23","Male",3,"Interesante ya que segun mi punto de vista el enunciado podia ser interpretado de ambas formas, pero me puso a pensar","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.04471666666667,35,"Yes"
"37",0,"many","with","leones","four","every",0.29,3,"one_slider","Español",1,"32","Male",4,"Fue bastante claro y un buen detalle es el tipo de contexto que otorgan, el amigo tiburón y el amigo elefante me encantaron","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",786,393,6.82946666666667,37,"Yes"
"38",0,"many","without","ranas","two","every",0.99,3,"one_slider","Español",2,"26","Male",3,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",768,1366,2.7867,38,"Yes"
"40",0,"none","without","ranas","four","every",1,3,"one_slider","España",1,"22","Male",1,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.4293,40,"Yes"
"42",0,"many","without","leones","two","every",0.98,3,"one_slider","español",2,"26","Male",2,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.04651666666667,42,"Yes"
"43",0,"all","with","mariposas","four","every",1,3,"one_slider","Español",2,"20","Male",3,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,1.65463333333333,43,"Yes"
"45",0,"none","with","mariposas","two","every",0.21,3,"one_slider","Español",2,"41","Female",3,"He leído el texto dos veces.","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Linux",892,412,4.20461666666667,45,"Yes"
