number,trial_type,quantifier,Answer.condition,QUD,item,workerid,Answer.time_in_minutes,slide_number,context,response
two,one_slider,numeral,undefined,many,dinosaurs,0,1.1333166666666667,3,with,0
two,one_slider,every,undefined,none,lions,1,1.5873666666666666,3,without,0
four,one_slider,numeral,undefined,none,frogs,2,2.27055,3,with,0.87
four,one_slider,numeral,undefined,all,frogs,3,2.48905,3,without,0.97
four,one_slider,every,undefined,all,butterflies,4,2.0900333333333334,3,without,0.93
two,one_slider,numeral,undefined,all,lions,5,0.5525,3,with,0.81
two,one_slider,every,undefined,many,lions,6,1.01265,3,without,0.97
four,one_slider,every,undefined,none,butterflies,7,2.60325,3,with,0.12
two,one_slider,every,undefined,none,dinosaurs,8,1.2786,3,without,0
two,one_slider,numeral,undefined,many,lions,9,1.2273,3,without,0.01
four,one_slider,every,undefined,all,frogs,10,1.7417,3,with,0.79
two,one_slider,every,undefined,many,dinosaurs,11,1.1620833333333334,3,without,1
two,one_slider,numeral,undefined,none,lions,12,1.3097,3,with,0.72
four,one_slider,numeral,undefined,many,lions,13,1.9126333333333334,3,without,1
four,one_slider,every,undefined,many,frogs,14,1.3291833333333334,3,with,0.84
four,one_slider,every,undefined,all,frogs,15,1.55675,3,without,0.98
four,one_slider,every,undefined,all,frogs,16,1.3455666666666666,3,with,0.98
four,one_slider,every,undefined,none,butterflies,17,1.9790333333333334,3,with,0.07
four,one_slider,every,undefined,all,butterflies,18,0.9118166666666667,3,without,0
four,one_slider,every,undefined,all,butterflies,19,1.5567333333333333,3,with,0.6
two,one_slider,numeral,undefined,all,dinosaurs,20,1.1543333333333334,3,without,0
four,one_slider,every,undefined,all,lions,21,0.8115833333333333,3,with,1
two,one_slider,numeral,undefined,many,butterflies,22,1.0698166666666666,3,without,0.9
two,one_slider,numeral,undefined,many,butterflies,23,2.110716666666667,3,without,0.02
two,one_slider,numeral,undefined,all,frogs,24,2.4563333333333333,3,without,0.01
two,one_slider,numeral,undefined,none,frogs,25,0.97745,3,without,0.89
